id,content,session_id,question_id
10,Ready,SM275024c5512ea0f626560c2a7c974a8b,1
11,I'm ready.,SMe14d7954247d88c43cf6bd5e70f17cc2,1
12,3,SM4c0c4addefec91a5ad5d92230606d8ec,1
13,4,SMc559b03477909c853ba0bd7cbe745651,1
14,3,SM3465833f00a6119440163db13a729c4b,1
15,4,SMb2ce42bc10c0a75172640c7b728f80ad,1
16,3,SM11cb1f8d5bcf86ca43d8e8802820d80f,2
17,4,SM391e2a4f2315eceee4ba95fb04e12ca6,1
18,4,SMe0a1f06bff4a847ebf00f87fb2b6d38d,2
19,4,SM486683d9fab1f02610e44a130142475f,1
20,4 ,SM6adab27d41f268ad788615e9fc5390a4,1
21,4,SM328f2c1d14bb4b3d0bc13379c1f4557b,1
22,2,SMd0072933e3ef83eebeb96b81bf5cd2c6,3
23,4,SM744432f32ea3522b4d7e8e392d5adc38,1
24,5 ,SM44310676f6692c5e339ab64711b50906,1
25,5,SMfa0808423f51b45f5f9a08b586880f0a,1
26,4 Agree,SMd7958c942a4752e5f9717c2ef68fa7a5,3
27,3,SMfe9574f9e2797fdb52b234fe584308a7,1
28,3,SM2a22de7162a6179a6418333e9d5998e8,1
29,4,SMc5820b746d7b37163372584c21371223,1
30,5,SMcbf8204ecc17214b6076219aaf7adb22,1
31,5,SM1719cceafe6e52f971aec0720ef4e745,1
32,4,SM45d748674c74b360414242f8225ee2d5,1
33,3 Neutral,SM0aaf42a23910c0a66a184277a5037a29,1
34,3,SM5ca004f8f9dddc905a43c65a6ff7b3dd,2
35,3,SM3a5d6439f389f5ec9fa27f69c3b3f207,1
36,4,SMa5540c9a97ad292839e6e0bafb8e7b9a,1
37,4,SM16f10a2edd552a8f2cb7c508f993c00d,1
38,3,SM6ef175a4116d114d1f6344dc4dd41073,2
39,2,SM33c720296d6ef7065bd0c7556f55fba6,1
40,2,SM4a0380deb476d10ce9446badbfcf9d36,2
41,3,SM20a45ba8d6f637c0fe0d9c39fa2e32f0,1
42,3,SMf91de1942f0a3de86a974c53506c756e,1
43,3,SM7408babc28d0bb00f93361601b66f2de,1
44,4,SMdfd5232a3508fba8899cd00d953fab7c,1
45,1,SM92d92a73b3dbedc0910c72efc4075a99,2
46,2,SM8d6565a605a4179bcb3fbbdabc1ef1a2,2
47,5,SM152378aa360db5c8ae5315e7bd747928,1
48,3,SMa317f7c6aaf6dcd3862681ca831cc0d1,2
49,2,SMa38aa7184f37a537adfd67a63e155014,2
50,4,SM2f288ae07af7fc9007626e97a6e9e076,1
51,3,SMaa7e364b413c01fff0efb45a46acd267,2
52,2,SM79d4eea3493b0f04009fa1194d0f1864,2
53,1,SM599b1f5d60ddfe97bfde3bc14b1fe4dc,2
54,4,SMc62cad83942cdc135691f8d8c417feb5,2
